user,language,anger,bitter,fear,joy,peace,power,sad,surprise,tender,tension,transcendence,excerpt,emotion,quadrant,preference,pref_enc,familiarity,fam_enc,understanding,und_enc,mus_train,mus_train_encod,emotions,emotions_enc,mus_soph,mus_soph_enc
0,english,1,1,1,4,2,5,1,1,2,1,4,joy_1,joy,q1_a_pos_v_pos,1,0,5,1,5,1,32,1,39,1,96,1
1,english,1,1,1,5,1,5,1,5,5,5,5,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,7,0,34,0,78,0
2,english,2,2,2,3,2,3,1,3,1,3,1,joy_1,joy,q1_a_pos_v_pos,1,0,4,1,3, ,13,0,11,0,67,0
3,english,2,3,1,5,2,3,2,3,2,3,2,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,9,0,17,0,39,0
4,english,1,1,1,5,1,5,1,3,1,1,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,3, ,10,0,28,0,42,0
5,english,1,1,1,4,3,4,1,1,3,1,1,joy_1,joy,q1_a_pos_v_pos,2,0,4,1,4,1,40,1,42,1,88,1
6,english,1,1,1,5,3,4,2,4,4,2,4,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,30,1,31,0,78,0
7,english,3,2,3,3,3,4,3,4,3,4,4,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,3, ,44,1,42,1,119,1
8,english,1,1,1,5,1,4,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,45,1,36,1,110,1
9,english,1,1,1,5,1,5,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,5,1,45,1,42,1,113,1
10,english,3,3,3,3,3,3,3,3,3,3,3,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,3, ,21,0,25,0,66,0
11,english,2,2,2,3,2,3,2,2,2,4,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,4,1,27,1,37,1,84,1
12,english,1,1,1,4,2,4,2,4,2,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,34,1,39,1,94,1
13,english,1,2,1,5,1,4,2,1,2,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,3, ,1,0,37,1,31,0,89,1
14,english,1,1,1,4,1,2,1,2,1,1,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,3, ,25,0,37,1,82,1
15,english,1,1,1,4,2,4,1,1,1,1,4,joy_1,joy,q1_a_pos_v_pos,2,0,5,1,5,1,19,0,31,0,69,0
